iso3;EMP_1990;EMP_1995;EMP_2000;EMP_2005;EMP_2010;EMP_2011;EMP_2012;EMP_2013
AFG;-1;-1;-1;0,767591261;0,811272738;0,811272738;0,811333933;0,811252696
ALB;-1;0,949987869;-1;1,064879068;1,116557631;1,116557631;1,109588781;1,115835004
DZA;-1;0,840196852;0,857971053;0,893326945;0,918322096;0,918322096;0,813001591;0,841006743
AND;-1;-1;-1;-1;-1;0,996990691;0,996990691;0,997013825
AGO;-1;-1;-1;-1;-1;-1;-1;-1
ATG;-1;-1;-1;-1;-1;-1;-1;-1
ARG;-1;0,938799864;0,95646699;0,996372436;1,02426127;1,024188843;1,024196519;1,024181545
ARM;-1;1,076831431;1,056829243;1,081500001;1,110999966;1,110999966;1,106505149;1,118630025
AUS;-1;1,151026928;1,164290343;1,173014715;1,176709039;1,176709039;1,171568648;1,171592503
AUT;-1;1,063042063;1,078020306;1,102391436;1,110502502;1,110502502;1,190058541;1,19003898
AZE;-1;-1;-1;-1;-1;1,022194456;1,145858507;1,145837438
BHS;-1;-1;-1;-1;-1;0,981784657;1,126046923;1,1222701
BHR;-1;-1;-1;1,037912366;1,080318482;1,090939106;1,090992376;1,090814621
BGD;-1;0,822313173;-1;0,871974305;0,902341521;0,902341521;0,904044587;0,903932722
BRB;-1;1,082632566;1,092625958;1,115644093;1,128947366;1,128947366;1,129029963;1,13404462
BLR;-1;-1;-1;-1;-1;-1;1,159842829;1,156480311
BEL;-1;1,043674718;1,07874339;1,115159111;1,120277311;1,120277311;1,130384437;1,130363753
BLZ;-1;0,819935619;0,840542793;0,845640681;0,868902111;0,868902111;0,868829489;0,874975536
BEN;-1;0,744112873;-1;0,773381596;0,793903173;0,792232857;0,790621358;0,790674055
BTN;-1;-1;-1;-1;-1;0,77937896;0,881206;0,860113261
BOL;-1;0,877932794;0,942789455;0,985590718;1,047999935;1,047999935;1,010626862;1,010570369
BIH;-1;-1;-1;-1;-1;-1;1,022822956;1,022820358
BWA;-1;0,954854262;1,01656331;1,027768576;1,043038466;1,043038466;1,042445946;1,042722424
BRA;-1;0,804801107;0,842177558;0,905868658;0,931689146;0,931689146;0,944382652;0,9443666
