Country;iso3;1990;1995;2000;2005;2010;2011;2012;2013
Afghanistan;AFG;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Albania;ALB;0.501;0.501;0.502;0.503;0.505;0.504;0.506;0.506
Algeria;DZA;0.500;0.501;0.501;0.502;0.503;0.503;0.504;0.503
Andorra;AND;1.658;1.658;1.658;1.658;1.658;-1.000;-1.000;1.658
Angola;AGO;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Antigua and Barbuda;ATG;0.456;0.461;0.462;0.458;0.453;0.453;0.446;0.446
Argentina;ARG;0.500;0.501;0.501;0.501;0.501;0.501;0.501;0.501
Armenia;ARM;0.501;0.501;0.501;0.502;0.503;0.502;0.503;0.503
Australia;AUS;0.512;0.509;0.513;0.515;0.515;0.515;0.520;0.520
Austria;AUT;0.512;0.512;0.517;0.518;0.522;0.519;0.525;0.557
Azerbaijan;AZE;0.502;0.501;0.501;0.501;0.501;0.502;0.502;0.501
Bahamas;BHS;0.501;0.501;0.501;0.501;0.502;0.502;0.502;0.502
Bahrain;BHR;0.503;0.505;0.506;0.507;0.508;0.509;0.508;0.509
Bangladesh;BGD;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Barbados;BRB;0.500;0.501;0.501;0.501;0.501;0.501;0.501;0.501
Belarus;BLR;0.502;0.502;0.502;0.505;0.511;0.507;0.512;0.512
Belgium;BEL;0.522;0.523;0.524;0.522;0.524;0.517;0.522;0.536
Belize;BLZ;0.500;0.501;0.500;0.500;0.501;0.500;0.501;0.501
Benin;BEN;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Bhutan;BTN;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Bolivia (Plurinational State of);BOL;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Bosnia and Herzegovina;BIH;0.503;0.505;0.509;0.514;0.514;0.515;0.518;0.516
Botswana;BWA;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Brazil;BRA;0.500;0.500;0.500;0.500;0.501;0.501;0.501;0.501
Brunei Darussalam;BRN;0.502;0.502;0.504;0.504;0.504;0.505;0.505;0.505
Bulgaria;BGR;0.501;0.502;0.502;0.505;0.505;0.504;0.506;0.506
Burkina Faso;BFA;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Burundi;BDI;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Cambodia;KHM;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Cameroon;CMR;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Canada;CAN;0.511;0.510;0.512;0.515;0.515;0.515;0.518;0.514
Cape Verde;CPV;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Central African Republic;CAF;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Chad;TCD;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Chile;CHL;0.501;0.501;0.501;0.502;0.502;0.502;0.502;0.502
China;CHN;0.501;0.505;0.507;0.507;0.508;0.508;0.507;0.508
Colombia;COL;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Comoros;COM;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Congo;COG;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Congo (Democratic Republic of the);COD;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Costa Rica;CRI;0.501;0.501;0.501;0.501;0.501;0.501;0.501;0.501
Croatia;HRV;0.512;0.510;0.513;0.512;0.511;0.513;0.511;0.511
Cuba;CUB;0.500;0.501;0.501;0.501;0.501;0.501;0.501;0.501
Cyprus;CYP;0.504;0.506;0.513;0.528;0.537;0.537;0.544;0.544
Czech Republic;CZE;0.503;0.506;0.515;0.522;0.522;0.522;0.527;0.549
Côte d'Ivoire;CIV;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Denmark;DNK;0.520;0.515;0.530;0.536;0.534;0.540;0.539;0.539
Djibouti;DJI;0.500;0.500;0.500;0.500;0.501;0.500;0.501;0.501
Dominica;DMA;1.658;1.658;1.658;1.658;1.658;0.353;0.343;1.658
Dominican Republic;DOM;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Ecuador;ECU;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Egypt;EGY;0.500;0.500;0.500;0.501;0.501;0.501;0.501;0.501
El Salvador;SLV;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Equatorial Guinea;GNQ;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Eritrea;ERI;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Estonia;EST;0.501;0.501;0.503;0.505;0.511;0.509;0.514;0.515
Ethiopia;ETH;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Fiji;FJI;0.501;0.501;0.502;0.502;0.502;0.502;0.502;0.502
Finland;FIN;0.519;0.522;0.526;0.523;0.526;0.526;0.526;0.526
France;FRA;0.514;0.517;0.525;0.523;0.524;0.534;0.540;0.542
Gabon;GAB;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Gambia;GMB;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Georgia;GEO;0.501;0.500;0.501;0.501;0.501;0.501;0.501;0.501
Germany;DEU;0.511;0.515;0.519;0.520;0.525;0.531;0.535;0.562
Ghana;GHA;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Greece;GRC;0.509;0.514;0.521;0.523;0.521;0.521;0.525;0.521
Grenada;GRD;0.501;0.501;0.502;0.502;0.502;0.437;0.503;0.503
Guatemala;GTM;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Guinea;GIN;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Guinea-Bissau;GNB;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Guyana;GUY;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Haiti;HTI;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Honduras;HND;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Hong Kong. China (SAR);HKG;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000
Hungary;HUN;0.502;0.503;0.510;0.512;0.506;0.511;0.509;0.510
Iceland;ISL;0.508;0.510;0.511;0.514;0.517;0.517;0.521;0.521
India;IND;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Indonesia;IDN;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Iran (Islamic Republic of);IRN;0.500;0.500;0.501;0.502;0.504;0.503;0.505;0.504
Iraq;IRQ;0.500;0.500;0.500;0.501;0.501;0.500;0.500;0.501
Ireland;IRL;0.516;0.515;0.513;0.513;0.515;0.514;0.528;0.529
Israel;ISR;0.509;0.513;0.514;0.515;0.518;0.518;0.518;0.531
Italy;ITA;0.524;0.530;0.535;0.535;0.536;0.536;0.559;0.560
Jamaica;JAM;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Japan;JPN;0.550;0.559;0.554;0.541;0.547;0.548;0.540;0.544
Jordan;JOR;0.500;0.501;0.501;0.501;0.501;0.502;0.502;0.501
Kazakhstan;KAZ;0.501;0.501;0.501;0.502;0.502;0.502;0.502;0.502
Kenya;KEN;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Kiribati;KIR;0.445;0.442;0.436;0.409;0.370;0.370;0.313;0.315
Korea (Democratic People's Rep. of);PRK;0.508;0.510;0.516;0.530;0.546;0.515;0.546;0.546
Korea (Republic of);KOR;0.521;0.532;0.543;0.563;0.570;0.558;0.526;0.565
Kuwait;KWT;0.507;0.514;0.509;0.513;0.512;0.518;0.512;0.512
Kyrgyzstan;KGZ;0.501;0.500;0.500;0.501;0.501;0.501;0.501;0.501
Lao People's Democratic Republic;LAO;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Latvia;LVA;0.501;0.501;0.503;0.507;0.504;0.507;0.506;0.505
Lebanon;LBN;0.501;0.501;0.502;0.504;0.508;0.506;0.506;0.508
Lesotho;LSO;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Liberia;LBR;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Libya;LBY;0.502;0.504;0.508;0.511;0.514;0.512;0.517;0.517
Liechtenstein;LIE;1.658;1.658;1.658;1.658;1.658;-1.000;-1.000;1.658
Lithuania;LTU;0.502;0.503;0.504;0.511;0.513;0.510;0.515;0.523
Luxembourg;LUX;0.521;0.518;0.522;0.512;0.513;0.514;0.515;0.515
Madagascar;MDG;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Malawi;MWI;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Malaysia;MYS;0.502;0.503;0.504;0.506;0.507;0.506;0.509;0.515
Maldives;MDV;0.500;0.500;0.500;0.501;0.504;0.506;0.504;0.510
Mali;MLI;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Malta;MLT;0.516;0.514;0.512;0.515;0.513;0.514;0.521;0.514
Marshall Islands;MHL;1.658;1.658;1.658;1.658;1.658;0.451;0.429;1.658
Mauritania;MRT;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Mauritius;MUS;0.501;0.501;0.502;0.502;0.501;0.502;0.501;0.501
Mexico;MEX;0.500;0.500;0.500;0.501;0.501;0.500;0.501;0.501
Micronesia (Federated States of);FSM;0.500;0.500;0.500;0.501;0.501;0.389;0.501;0.501
Moldova (Republic of);MDA;0.501;0.501;0.501;0.503;0.502;0.502;0.502;0.502
Monaco;MCO;1.658;1.658;1.658;1.658;1.658;-1.000;-1.000;1.658
Mongolia;MNG;0.501;0.501;0.501;0.501;0.502;0.502;0.502;0.502
Montenegro;MNE;0.509;0.510;0.510;0.512;0.513;0.509;0.517;0.516
Morocco;MAR;0.500;0.500;0.500;0.501;0.501;0.502;0.502;0.501
Mozambique;MOZ;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Myanmar;MMR;0.500;0.500;0.500;0.501;0.501;0.501;0.501;0.501
Namibia;NAM;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Nauru;NRU;1.658;1.658;1.658;1.658;1.658;0.412;0.376;1.658
Nepal;NPL;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Netherlands;NLD;0.535;0.529;0.530;0.534;0.545;0.547;0.555;0.539
New Zealand;NZL;0.504;0.506;0.507;0.506;0.506;0.506;0.509;0.507
Nicaragua;NIC;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Niger;NER;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Nigeria;NGA;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Norway;NOR;0.514;0.516;0.519;0.524;0.527;0.527;0.533;0.531
Oman;OMN;0.500;0.500;0.501;0.503;0.506;0.513;0.508;0.507
Pakistan;PAK;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Palau;PLW;1.658;1.658;1.658;1.658;1.658;0.262;0.232;1.658
Palestine. State of;PSE;0.500;0.500;0.500;0.501;0.501;0.451;0.501;0.501
Panama;PAN;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Papua New Guinea;PNG;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Paraguay;PRY;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Peru;PER;0.500;0.500;0.500;0.500;0.501;0.500;0.501;0.501
Philippines;PHL;0.500;0.500;0.500;0.500;0.500;0.500;0.501;0.501
Poland;POL;0.505;0.506;0.512;0.516;0.516;0.517;0.520;0.520
Portugal;PRT;0.506;0.511;0.512;0.512;0.515;0.515;0.520;0.520
Qatar;QAT;0.503;0.504;0.510;0.513;0.516;0.515;0.516;0.526
Romania;ROU;0.500;0.501;0.501;0.503;0.503;0.503;0.503;0.503
Russian Federation;RUS;0.501;0.501;0.501;0.502;0.503;0.502;0.503;0.503
Rwanda;RWA;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Saint Kitts and Nevis;KNA;1.658;1.658;1.658;1.658;1.658;0.437;0.418;1.658
Saint Lucia;LCA;0.500;0.500;0.501;0.501;0.501;0.458;0.501;0.501
Saint Vincent and the Grenadines;VCT;0.500;0.500;0.500;0.501;0.501;0.456;0.501;0.501
Samoa;WSM;0.500;0.500;0.500;0.501;0.501;0.402;0.390;0.501
San Marino;SMR;1.658;1.658;1.658;1.658;1.658;-1.000;-1.000;1.658
Sao Tome and Principe;STP;0.500;0.500;0.500;0.500;0.500;0.461;0.501;0.501
Saudi Arabia;SAU;0.501;0.501;0.502;0.505;0.509;0.509;0.505;0.510
Senegal;SEN;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Serbia;SRB;0.503;0.503;0.507;0.511;0.511;0.511;0.511;0.512
Seychelles;SYC;0.462;0.462;0.455;0.455;0.456;0.449;0.444;0.453
Sierra Leone;SLE;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Singapore;SGP;0.531;0.531;0.522;0.532;0.540;0.550;0.536;0.540
Slovakia;SVK;0.503;0.505;0.507;0.512;0.512;0.512;0.515;0.516
Slovenia;SVN;0.509;0.515;0.529;0.536;0.542;0.527;0.545;0.767
Solomon Islands;SLB;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Somalia;SOM;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
South Africa;ZAF;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
South Sudan;SSD;0.482;0.481;0.480;0.478;0.473;1.658;1.658;0.466
Spain;ESP;0.516;0.525;0.530;0.524;0.519;0.519;0.523;0.523
Sri Lanka;LKA;0.501;0.501;0.501;0.502;0.503;0.503;0.503;0.504
Sudan;SDN;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Suriname;SUR;0.500;0.501;0.500;0.501;0.500;0.501;0.501;0.501
Swaziland;SWZ;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Sweden;SWE;0.521;0.522;0.534;0.538;0.540;0.540;0.537;0.537
Switzerland;CHE;0.538;0.537;0.542;0.545;0.553;0.552;0.560;0.618
Syrian Arab Republic;SYR;0.500;0.500;0.500;0.501;0.501;0.501;0.501;0.501
Tajikistan;TJK;0.500;0.500;0.500;0.501;0.501;0.501;0.501;0.501
Tanzania (United Republic of);TZA;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Thailand;THA;0.501;0.501;0.501;0.501;0.501;0.501;0.501;0.501
The former Yugoslav Republic of Macedonia;MKD;0.504;0.504;0.505;0.509;0.511;0.511;0.514;0.514
Timor-Leste;TLS;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Togo;TGO;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Tonga;TON;0.501;0.501;0.501;0.501;0.501;0.371;0.501;0.501
Trinidad and Tobago;TTO;0.500;0.500;0.501;0.501;0.501;0.501;0.502;0.502
Tunisia;TUN;0.501;0.501;0.504;0.506;0.508;0.507;0.510;0.510
Turkey;TUR;0.501;0.501;0.501;0.502;0.503;0.503;0.504;0.504
Turkmenistan;TKM;0.501;0.501;0.501;0.501;0.502;0.502;0.502;0.502
Tuvalu;TUV;1.658;1.658;1.658;1.658;1.658;0.378;0.366;1.658
Uganda;UGA;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Ukraine;UKR;0.501;0.501;0.502;0.503;0.503;0.503;0.503;0.503
United Arab Emirates;ARE;0.501;0.504;0.506;0.507;0.507;0.509;0.509;0.507
United Kingdom;GBR;0.508;0.508;0.507;0.507;0.508;0.507;0.507;0.508
United States;USA;0.504;0.503;0.503;0.503;0.503;0.503;0.504;0.504
