iso3;LFRP_m1990;LFRP_m1995;LFRP_m2000;LFRP_m2005;LFRP_m2006;LFRP_m2007;LFRP_m2008;LFRP_m2009;LFRP_m2010;LFRP_m2011;LFRP_m2012;LFRP_m2013
AFG;0,484500008;0,479000015;0,470499983;0,472999983;0,473499994;0,474499998;0,475500007;0,476500015;0,47749999;0,47750001;0,476999984;0,476999984
ALB;0,639499989;0,640500011;0,624000015;0,586000004;0,576500015;0,567500019;0,559500008;0,552499981;0,552500019;0,552000008;0,552000008;0,552000008
DZA;0,422999983;0,445;0,435499983;0,426999998;0,425999999;0,425500002;0,425499992;0,425499983;0,428499994;0,431500001;0,434500008;0,434500008
AND;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
AGO;0,71;0,719500008;0,714500008;0,703500023;0,699499989;0,694500008;0,692499981;0,695499992;0,698500004;0,699500008;0,7;0,7
ATG;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ARG;0,593499985;0,586499996;0,584000015;0,626000004;0,625999985;0,623000011;0,620000019;0,616999989;0,609500008;0,610500011;0,611499996;0,611499996
ARM;0,685499992;0,6675;0,653500004;0,607999992;0,600000019;0,5925;0,586000004;0,592999992;0,616000023;0,620500011;0,625;0,625
AUS;0,639999981;0,638999996;0,635500011;0,645999985;0,649500008;0,654499989;0,657500019;0,656000004;0,656499996;0,657000008;0,653500004;0,653500004
AUT;0,563499985;0,594999981;0,584999981;0,592500019;0,598999977;0,608000011;0,609000015;0,610499992;0,607999992;0,608999977;0,611499977;0,611499977
AZE;0,623499985;0,640500011;0,643999996;0,643999977;0,643499985;0,642999992;0,642999992;0,648499985;0,646000004;0,651499996;0,657000008;0,657000008
BHS;0,721000023;0,744500008;0,706499977;0,7275;0,730999985;0,735;0,739000015;0,742000008;0,7425;0,7425;0,743000031;0,743000031
BHR;0,579000006;0,595500002;0,606500015;0,598500004;0,606500015;0,615000019;0,622999992;0,629000015;0,632499981;0,633500023;0,632999992;0,632999992
BGD;0,751999989;0,728500004;0,701000004;0,7025;0,703000011;0,703999977;0,703999996;0,705;0,705499992;0,705999985;0,706999989;0,706999989
BRB;0,695499992;0,6975;0,698499985;0,707000008;0,708000031;0,709000015;0,710499992;0,7125;0,712999992;0,712999992;0,712999992;0,712999992
BLR;0,678500023;0,630500011;0,588499985;0,567999992;0,563500004;0,56;0,555999985;0,552000008;0,556000004;0,559500008;0,563000011;0,563000011
BEL;0,488499985;0,5075;0,525;0,534499989;0,532999992;0,538499985;0,538000011;0,535500011;0,540999985;0,531000004;0,531500015;0,531500015
BLZ;0,591500015;0,598500023;0,616499996;0,628000011;0,6325;0,639000015;0,643999996;0,650499992;0,654499989;0,655999985;0,657000008;0,657000008
BEN;0,733000011;0,734000015;0,727000008;0,72449997;0,725499992;0,725999985;0,727000008;0,7275;0,728500023;0,729000015;0,729000015;0,729000015
BTN;0,6375;0,628999996;0,661999989;0,705499992;0,707999992;0,708499985;0,707999992;0,705499992;0,709500008;0,712999992;0,716500015;0,716500015
BOL;0,665499992;0,686499977;0,706999989;0,712999992;0,714500008;0,717499981;0,718499985;0,721000004;0,723000011;0,724000015;0,725;0,725
BIH;0,466499996;0,460999985;0,458500004;0,441000004;0,437999992;0,446999998;0,453500004;0,450499992;0,456000004;0,456000004;0,456499996;0,456499996
BWA;0,737000008;0,742999992;0,75;0,76;0,760499992;0,762000008;0,762999992;0,763999977;0,765;0,766000023;0,766500015;0,766500015
BRA;0,65;0,695000019;0,685;0,705;0,701999989;0,697999992;0,699500008;0,700499992;0,7025;0,7025;0,702000008;0,702000008
BRN;0,638500004;0,654499989;0,675999985;0,664500008;0,661000004;0,6575;0,654500008;0,651000004;0,647999992;0,645000019;0,6425;0,6425
BGR;0,588000011;0,5475;0,500500011;0,504499989;0,523999996;0,539000015;0,553000011;0,545499992;0,535;0,5275;0,532999992;0,532999992
BFA;0,837999992;0,837000008;0,836000023;0,836500015;0,837000008;0,8375;0,8375;0,837999992;0,8375;0,83699997;0,835999985;0,835999985
BDI;0,906000023;0,875499992;0,843000031;0,826500015;0,82449997;0,8225;0,822000008;0,821500015;0,8225;0,823999977;0,825;0,825
KHM;0,803000031;0,805;0,787000008;0,809500008;0,815999985;0,820999985;0,825999985;0,826499977;0,826500015;0,826500015;0,827000008;0,827000008
CMR;0,673999996;0,688499985;0,689500008;0,691499977;0,693000011;0,694000015;0,696000004;0,697000008;0,698999996;0,700499992;0,701499977;0,701499977
CAN;0,669500008;0,645500011;0,654499989;0,6675;0,666999989;0,671500015;0,673999977;0,668500023;0,666499996;0,665000019;0,663999977;0,663999977
CPV;0,635500011;0,644000015;0,649000015;0,655;0,657000008;0,659500008;0,662000008;0,664500008;0,6675;0,670000019;0,672999992;0,672999992
CAF;0,782000008;0,783500023;0,782000008;0,784500008;0,784500008;0,785;0,786500015;0,78699997;0,788499985;0,787999992;0,787999992;0,787999992
TCD;0,72449997;0,722999992;0,72;0,717999992;0,717000008;0,717000008;0,717000008;0,716499977;0,716499977;0,715999985;0,715999985;0,715999985
CHL;0,546499996;0,56;0,551500015;0,556499996;0,5625;0,5675;0,580499992;0,579500008;0,605500011;0,618000011;0,617999992;0,617999992
CHN;0,7875;0,78449997;0,768999977;0,73;0,724000015;0,718999977;0,714500008;0,71;0,705499992;0,707500019;0,709499989;0,709499989
COL;0,544500017;0,577000008;0,651500015;0,67;0,649500008;0,642500019;0,6475;0,671000023;0,674999981;0,675999985;0,676999989;0,676999989
COM;0,538999996;0,544499998;0,547999992;0,560499992;0,563500023;0,566000004;0,569499989;0,571999989;0,573999977;0,574999981;0,575999985;0,575999985
COG;0,663499985;0,672000008;0,682999992;0,695999985;0,697999992;0,700499992;0,7025;0,703999977;0,705500031;0,706500015;0,706500015;0,706500015
COD;0,712999992;0,721500015;0,722999992;0,720499992;0,720499992;0,72;0,719500008;0,719500008;0,718999977;0,718999977;0,71949997;0,71949997
CRI;0,584500008;0,596000004;0,592999992;0,6225;0,621500015;0,630499992;0,625;0,622000008;0,625;0,626499996;0,627000008;0,627000008
HRV;0,575;0,559499989;0,541000004;0,537999992;0,531999989;0,534500008;0,533000011;0,53;0,523999996;0,519500008;0,516499996;0,516499996
CUB;0,536500015;0,546500015;0,539499989;0,529499989;0,532999992;0,543499985;0,549500008;0,565;0,565999985;0,566499996;0,566999989;0,566999989
CYP;0,558000011;0,558500004;0,608000011;0,633499985;0,636000023;0,638999996;0,637999992;0,638000011;0,642000008;0,635;0,633000011;0,633000011
CZE;0,610999985;0,617500019;0,608000011;0,596499977;0,595499992;0,591000004;0,587499981;0,589000015;0,586000004;0,584500008;0,589500008;0,589500008
CIV;0,655499992;0,655;0,655999985;0,663999977;0,665;0,666000004;0,667000008;0,667500019;0,668499985;0,668499985;0,668500004;0,668500004
DNK;0,684000015;0,654500008;0,658499985;0,659500008;0,663999996;0,659499989;0,662000008;0,653999977;0,644499989;0,640499992;0,632999992;0,632999992
DJI;0,468999996;0,476999998;0,489000006;0,496999989;0,499499989;0,501999989;0,505000019;0,508500004;0,511499977;0,514500008;0,517000008;0,517000008
DMA;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
DOM;0,642000008;0,638500004;0,6325;0,6475;0,650000019;0,651999989;0,651499977;0,651499996;0,649500008;0,649500008;0,649499989;0,649499989
ECU;0,616499996;0,642000008;0,668500023;0,699999981;0,712000008;0,691499996;0,680000019;0,677000008;0,681000004;0,683499985;0,685;0,685
EGY;0,501999989;0,466999989;0,461999989;0,478500004;0,467999983;0,479500008;0,481499996;0,484500008;0,486999989;0,488500013;0,490999994;0,490999994
SLV;0,618499985;0,627999992;0,617499981;0,611999989;0,616500015;0,620999985;0,626500015;0,629000015;0,631999989;0,6325;0,632999992;0,632999992
GNQ;0,858999977;0,869000015;0,8675;0,864000015;0,863500023;0,863000031;0,863000031;0,863500023;0,864000015;0,864000015;0,864500008;0,864500008
ERI;0,838499985;0,822999992;0,828499985;0,8375;0,839500008;0,840499992;0,844000015;0,845;0,846499977;0,8475;0,848500023;0,848500023
EST;0,697999992;0,623999996;0,591999989;0,593500004;0,613499985;0,617000008;0,623999996;0,622000008;0,618999996;0,627999992;0,623499985;0,623499985
ETH;0,810499992;0,811000023;0,815499992;0,846500015;0,845499992;0,844500008;0,8425;0,841000023;0,83949997;0,838499985;0,837999992;0,837999992
FJI;0,56250001;0,587000008;0,5725;0,559500008;0,554500008;0,548999996;0,5475;0,5475;0,547000008;0,547000008;0,5475;0,5475
FIN;0,653000011;0,610499992;0,618499985;0,611000004;0,616499996;0,617999992;0,62;0,609500008;0,603999996;0,603500023;0,601500015;0,601500015
FRA;0,556499977;0,555499992;0,556500015;0,561500015;0,561000004;0,561499996;0,5625;0,565;0,564500008;0,561999989;0,563500004;0,563500004
