iso3;GII2013;HLT2013;EMP2013;LFRP2013
AFG;0,705;0,500;0,311;0,477
ALB;0,245;0,506;0,616;0,552
DZA;0,425;0,503;0,341;0,435
AND;-1;-1,000;0,497;-1,000
AGO;-1;0,500;-1,000;0,700
ATG;-1;-1,000;-1,000;-1,000
ARG;0,381;0,501;0,524;0,611
ARM;0,325;0,503;0,619;0,625
AUS;0,113;0,520;0,672;0,654
AUT;0,056;0,557;0,690;0,611
AZE;0,34;0,501;0,646;0,657
BHS;0,316;0,502;0,622;0,743
BHR;0,253;0,509;0,591;0,633
BGD;0,529;0,500;0,404;0,707
BRB;0,35;0,501;0,634;0,713
BLR;0,152;0,512;0,656;0,563
BEL;0,068;0,536;0,630;0,532
BLZ;0,435;0,501;0,375;0,657
BEN;0,614;0,500;0,291;0,729
BTN;0,495;0,500;0,360;0,717
BOL;0,472;0,500;0,511;0,725
BIH;0,201;0,516;0,523;0,456
BWA;0,486;0,500;0,543;0,767
BRA;0,441;0,501;0,444;0,702
BRN;-1;0,505;-1,000;0,643
BGR;0,207;0,506;0,664;0,533
BFA;0,607;0,500;0,102;0,836
BDI;0,501;0,500;0,190;0,825
KHM;0,505;0,500;0,280;0,827
CMR;0,622;0,500;0,363;0,701
CAN;0,136;0,514;0,689;0,664
CPV;-1;0,500;-1,000;0,673
CAF;0,654;0,500;0,296;0,788
TCD;0,707;0,500;0,170;0,716
CHL;0,355;0,502;0,565;0,618
CHN;0,202;0,508;0,556;0,709
COL;0,46;0,500;0,486;0,677
COM;-1;0,500;-1,000;0,576
COG;0,617;0,500;0,434;0,707
COD;0,669;0,500;0,335;0,719
CRI;0,344;0,501;0,514;0,627
HRV;0,172;0,511;0,647;0,516
CUB;0,35;0,501;0,621;0,567
CYP;0,136;0,544;0,561;0,633
CZE;0,087;0,549;0,672;0,590
CIV;0,645;0,500;0,319;0,669
DNK;0,056;0,539;0,689;0,633
DJI;-1;0,501;-1,000;0,517
DMA;-1;-1,000;0,322;-1,000
DOM;0,505;0,500;0,491;0,649
ECU;0,429;0,500;0,443;0,685
EGY;0,58;0,501;0,435;0,491
SLV;0,441;0,500;0,439;0,633
GNQ;-1;0,500;-1,000;0,865
ERI;-1;0,500;-1,000;0,849
EST;0,154;0,515;0,673;0,623
ETH;0,547;0,500;0,255;0,838
FJI;-1;0,502;-1,000;0,548
FIN;0,075;0,526;0,705;0,602
FRA;0,08;0,542;0,616;0,564
GAB;0,508;0,500;0,418;0,605
GMB;0,624;0,500;0,326;0,776
GEO;-1;0,501;-1,000;0,654
DEU;0,046;0,562;0,684;0,600
GHA;0,549;0,500;0,491;0,692
GRC;0,146;0,521;0,541;0,534
GRD;-1;0,503;-1,000;-1,000
GTM;0,523;0,500;0,310;0,686
GIN;-1;0,500;-1,000;0,719
GNB;-1;0,500;-1,000;0,733
GUY;0,524;0,500;0,509;0,616
HTI;0,599;0,500;0,340;0,657
HND;0,482;0,500;0,345;0,627
HKG;-1;-1,000;-1,000;0,598
HUN;0,247;0,510;0,621;0,523
ISL;0,088;0,521;0,672;0,740
IND;0,563;0,500;0,420;0,549
IDN;0,5;0,500;0,453;0,679
IRN;0,51;0,504;0,474;0,447
IRQ;0,542;0,501;0,400;0,422
IRL;0,115;0,529;0,596;0,603
ISR;0,101;0,531;0,629;0,638
ITA;0,067;0,560;0,607;0,494
JAM;0,457;0,500;0,557;0,635
JPN;0,138;0,544;0,591;0,593
JOR;0,488;0,501;0,560;0,407
KAZ;0,323;0,502;0,663;0,725
KEN;0,548;0,500;0,363;0,671
KIR;-1;-1,000;-1,000;-1,000
PRK;-1;0,546;-1,000;0,783
KOR;0,101;0,565;0,607;0,610
KWT;0,288;0,512;0,456;0,631
KGZ;0,348;0,501;0,666;0,674
LAO;0,534;0,500;0,382;0,776
